id_cargo,nm_cargo,perc_tarefa_repetitiva,perc_exige_criatividade,perc_interacao_humana,nivel_risco_ia
10,Atendente de Telemarketing,90,10,70,ALTO
11,Caixa Operacional,95,5,60,ALTO
12,Auxiliar Administrativo,80,20,50,ALTO
13,Digitador,98,5,10,ALTO
20,Analista Financeiro Jr,60,50,40,MEDIO
21,Gerente de Contas,30,60,90,MEDIO
22,Designer Gráfico,20,85,50,MEDIO
30,Desenvolvedor Python,10,90,60,BAIXO
31,Cientista de Dados,5,95,65,BAIXO
32,Especialista em CX,15,80,95,BAIXO
100,Operador de Caixa A,94,5,62,ALTO
101,Operador de Caixa B,96,5,58,ALTO
102,Operador de Caixa C,95,10,60,ALTO
103,Operador de Caixa D,93,10,61,ALTO
104,Atendente de Suporte L1 A,88,15,80,ALTO
105,Atendente de Suporte L1 B,90,10,78,ALTO
106,Processador de Faturas,97,5,15,ALTO
107,Transcritor de Áudio,92,10,5,ALTO
108,Operador de Linha de Montagem,99,5,20,ALTO
109,Embalador de E-commerce,96,10,15,ALTO
110,Revisor de Dados Simples,95,15,10,ALTO
111,Arquivista Digital,90,10,20,ALTO
112,Operador de Telemarketing Ativo,91,10,75,ALTO
113,Auxiliar de Contabilidade (Lançamentos),85,25,30,ALTO
114,Auxiliar de Logística (Etiquetagem),94,10,25,ALTO
115,Operador de Cobrança,87,15,80,ALTO
116,Recepcionista (Agendamento),80,20,85,ALTO
117,Auxiliar de RH (Folha Ponto),88,15,35,ALTO
118,Inspetor de Qualidade (Visual),93,20,10,ALTO
119,Motorista de Aplicativo,70,10,65,ALTO
120,Entregador de Aplicativo,75,5,50,ALTO
121,Operador de Monitoramento (CFTV),90,10,5,ALTO
122,Estoquista (Recebimento),85,15,30,ALTO
123,Assistente de Backoffice,82,20,40,ALTO
124,Pesquisador de Preços (Web),91,10,5,ALTO
125,Separador de Pedidos (Picking),96,5,15,ALTO
126,Repositor de Mercadorias,93,10,40,ALTO
127,Auxiliar de Serviços Gerais,89,5,20,ALTO
128,Copeiro(a),85,10,30,ALTO
129,Porteiro,92,5,70,ALTO
130,Vigia,95,5,10,ALTO
131,Atendente de Fast Food,90,10,75,ALTO
132,Frentista,94,5,65,ALTO
133,Operador de Máquina (Simples),98,5,5,ALTO
134,Assistente de Produção,92,10,20,ALTO
135,Bilheteiro,96,5,70,ALTO
136,Agente de Viagens (Emissão),85,20,65,ALTO
137,Técnico de Suporte (Hardware Simples),80,25,70,ALTO
138,Leiturista (Água/Luz),97,5,10,ALTO
139,Indexador de Documentos,98,10,5,ALTO
140,Operador de Caixa de Pedágio,99,5,50,ALTO
141,Analista de Crédito (Júnior),70,40,50,MEDIO
142,Contador Jr,65,45,40,MEDIO
143,Analista de RH (Recrutamento),50,60,85,MEDIO
144,Analista de Marketing Digital (Mídia),40,70,50,MEDIO
145,Designer Gráfico Jr,30,80,45,MEDIO
146,Programador Web Jr,25,85,55,MEDIO
1MAR,Analista Financeiro Pleno,50,65,50,MEDIO
148,Gerente de Contas Jr,35,60,90,MEDIO
149,Comprador Jr,60,50,60,MEDIO
150,Eletricista,65,40,70,MEDIO
151,Encanador,70,35,75,MEDIO
152,Mecânico de Manutenção,60,50,65,MEDIO
153,Técnico de Enfermagem,50,40,95,MEDIO
154,Analista de Suporte L2,45,65,80,MEDIO
155,Auditor Jr,55,60,50,MEDIO
156,Analista de Logística (Roteirização),60,55,40,MEDIO
157,Professor (Ensino Fundamental),40,70,90,MEDIO
158,Redator Publicitário Jr,20,85,40,MEDIO
159,Social Media (Postagem),30,75,50,MEDIO
160,Nutricionista (Clínico),35,60,95,MEDIO
161,Advogado Jr (Pesquisa),50,70,60,MEDIO
162,Coordenador de Turno (Fábrica),45,55,80,MEDIO
163,Analista de QA (Testes),40,70,50,MEDIO
164,Técnico em Segurança do Trabalho,50,50,85,MEDIO
165,Chef de Cozinha (Executivo),30,80,70,MEDIO
166,Representante Comercial,25,60,95,MEDIO
167,Consultor de Vendas,30,55,90,MEDIO
168,Gerente de Loja,40,60,90,MEDIO
169,Analista de BI Jr,40,75,50,MEDIO
170,UI Designer Jr,25,85,60,MEDIO
171,Gerente de Projetos Jr,35,70,85,MEDIO
172,Tradutor,30,80,20,MEDIO
173,Jornalista (Repórter),20,80,85,MEDIO
L74,Fotógrafo (Eventos),15,85,80,MEDIO
175,Fisioterapeuta,30,65,95,MEDIO
176,Arquiteto Jr,25,85,70,MEDIO
177,Engenheiro Civil (Campo),40,70,75,MEDIO
178,Consultor de Imóveis,20,60,95,MEDIO
179,Piloto de Drone (Mapeamento),50,65,30,MEDIO
180,Cientista de Dados Sênior,5,98,70,BAIXO
181,Desenvolvedor Sênior (IA),10,95,65,BAIXO
182,Especialista em CX Sênior,10,85,98,BAIXO
183,Diretor de Marketing (CMO),5,95,95,BAIXO
184,Psicólogo Clínico,10,90,98,BAIXO
185,Cirurgião,15,95,85,BAIXO
186,Advogado Sênior (Estratégia),5,98,80,BAIXO
187,CEO (Diretor Executivo),5,95,98,BAIXO
188,Arquiteto de Software,10,98,75,BAIXO
189,Professor Universitário (Pesquisa),10,95,80,BAIXO
190,Pesquisador Científico (R&D),5,99,70,BAIXO
191,Creative Director,5,98,90,BAIXO
192,Estrategista de Marca,10,95,85,BAIXO
193,Diplomata,15,90,98,BAIXO
194,Juiz,20,95,80,BAIXO
195,Gerente de Inovação,10,98,90,BAIXO
196,Coach Executivo,15,85,98,BAIXO
197,Roteirista de Cinema,5,99,70,BAIXO
198,Analista de Risco (Estratégico),10,95,60,BAIXO
199,Engenheiro de Machine Learning,5,98,65,BAIXO
200,Enfermeiro Chefe (Gestão),20,80,95,BAIXO